id	string
1	a,Hello! I am $s1. You are $s2, right? Hehehe\0
2	a,$s1--$s2--$s3--$s4//$s5 Hehehe\0
3	a,none\0
4	a,none\0
5	a,Withdraw the fee for the next time at $s1/$s2 $s3\0
6	a,(<font color="FFAABB">$s1</font> Adena/$s2 Day(s))\0
7	a,$s1<a action="bypass -h menu_select?ask=-270&reply=$s2000">Deactivate</a>$s3\0
8	a,Stage\0
9	a,Stage $s1\0
10	a,$s1%%\0
1000001	a,A non-permitted target has been discovered.\0
1000002	a,Intruder removal system initiated.\0
1000003	a,Removing intruders.\0
1000004	a,A fatal error has occurred.\0
1000005	a,System is being shut down...\0
1000006	a,......\0
1000007	a,We shall see about that!\0
1000008	a,I will definitely repay this humiliation!\0
1000009	a,Retreat!\0
1000010	a,Tactical retreat!\0
1000011	a,Mass fleeing!\0
1000012	a,It's stronger than expected!\0
1000013	a,I'll kill you next time!\0
1000014	a,I'll definitely kill you next time!\0
1000015	a,Oh! How strong!\0
1000016	a,Invader!\0
1000017	a,There is no reason for you to kill me! I have nothing you need!\0
1000018	a,Someday you will pay!\0
1000019	a,I won't just stand still while you hit me.\0
1000020	a,Stop hitting!\0
1000021	a,It hurts to the bone!\0
1000022	a,Am I the neighborhood drum for beating!\0
1000023	a,Follow me if you want!\0
1000024	a,Surrender!\0
1000025	a,Oh, I'm dead!\0
1000026	a,I'll be back!\0
1000027	a,I'll give you ten million arena if you let me live!\0
1000028	a,$s1. Stop kidding yourself about your own powerlessness!\0
1000029	a,$s1. I'll make you feel what true fear is!\0
1000030	a,You're really stupid to have challenged me. $s1! Get ready!\0
1000031	a,$s1. Do you think that's going to work?!\0
1000032	a,I will definitely reclaim my honor which has been tarnished!\0
1000033	a,Show me the wrath of the knight whose honor has been downtrodden!\0
1000034	a,Death to the hypocrite!\0
1000035	a,I'll never sleep until I've shed my dishonor!\0
1000036	a,I'm here for the ones that are cursing the world!\0
1000037	a,I'll turn you into a malignant spirit!\0
1000038	a,I'll curse you with the power of revenge and hate!\0
1000039	a,For the glory of Gracia!\0
1000040	a,Do you dare pit your power against me?\0
1000041	a,I... I am defeated!!!\0
1000042	a,I am conveying the will of Nurka! Everybody get out of my way!\0
1000043	a,Those who stand against me shall die horribly!\0
1000044	a,Do you dare to block my way?!\0
1000045	a,My comrades will get revenge!\0
1000046	a,You heathen blasphemers of this holy place will be punished!\0
1000047	a,Step forward, you worthless creatures who challenge my authority!\0
1000048	a,My creator... The unchanging faithfulness to my master... \0
1000049	a,Master of the tower... My master... master... Where is he?\0
1000050	a,I AM THE ONE CARRYING OUT THE WILL OF CORE.\0
1000051	a,DESTROY THE INVADER.\0
1000052	a,STRANGE CONDITION - DOESN'T WORK\0
1000053	a,According to the command of Beleth... I'm going to observe you guys!\0
